TransactionID,CustomerID,Amount,Currency,TransactionDate,TransactionType,Category,MerchantID,TransactionStatus,PaymentMethod,Location,TransactionTime,FraudFlag,TransactionFee,MerchantCategory,CustomerAge,DeviceType
TXN4024,CUST269,4303.81,GBP,09/20/2023,Debit,Groceries,MER994,Completed,E-Wallet,Berlin,12:31,1,32.88,Bank,33,Desktop
TXN5969,CUST766,4982.99,USD,03/26/2023,Credit,Groceries,MER592,Completed,E-Wallet,Toronto,18:14,0,45.16,Bank,52,Mobile
TXN4583,CUST434,1924.17,USD,10/10/2023,Debit,Entertainment,MER974,Failed,Bank Transfer,London,02:21,0,29.25,Restaurant,45,Mobile
TXN3159,CUST643,278.18,GBP,08/26/2023,Credit,Clothing,MER269,Completed,Debit Card,Toronto,11:25,1,40.05,Bank,57,Desktop
TXN1615,CUST874,4961.76,GBP,11/27/2023,Credit,Electronics,MER831,Pending,Bank Transfer,London,00:56,0,36.05,Physical Store,53,Desktop
TXN7962,CUST821,2923.06,EUR,08/10/2023,Debit,Entertainment,MER761,Pending,Debit Card,New York,20:10,1,31.37,Online Retailer,75,Desktop
TXN6382,CUST317,3408.36,GBP,06/27/2023,Credit,Groceries,MER390,Pending,E-Wallet,Toronto,16:29,1,17.18,Online Retailer,75,ATM
TXN1982,CUST643,1038.25,EUR,06/26/2023,Credit,Groceries,MER790,Failed,Credit Card,New York,10:18,0,7.89,Physical Store,41,ATM
TXN2898,CUST416,738.44,USD,02/25/2023,Credit,Entertainment,MER559,Failed,E-Wallet,New York,13:31,1,33.26,Restaurant,25,ATM
TXN6012,CUST393,2541.58,EUR,10/06/2023,Credit,Electronics,MER650,Pending,Debit Card,Paris,02:42,1,34.42,Physical Store,47,ATM
TXN1796,CUST298,4691.42,USD,01/13/2023,Debit,Travel,MER267,Completed,Debit Card,Tokyo,08:07,0,5.09,Restaurant,20,Desktop
TXN5151,CUST108,4211.57,EUR,10/18/2023,Credit,Travel,MER182,Pending,E-Wallet,Paris,13:57,0,9.15,Bank,65,Desktop
TXN2307,CUST458,3693.83,USD,09/26/2023,Debit,Groceries,MER847,Pending,Bank Transfer,Tokyo,06:20,0,34.38,Physical Store,19,Desktop
TXN7398,CUST285,1357.35,EUR,12/01/2023,Credit,Electronics,MER962,Pending,Credit Card,Berlin,19:50,0,28.5,Bank,18,Desktop
TXN5751,CUST991,2935.43,USD,05/26/2023,Credit,Healthcare,MER114,Completed,Credit Card,Paris,18:22,1,32.3,Physical Store,48,ATM
TXN9339,CUST526,1518.63,USD,01/28/2023,Credit,Groceries,MER784,Pending,Bank Transfer,Tokyo,23:01,0,27.29,Online Retailer,56,Mobile
TXN7443,CUST558,4343.95,EUR,07/24/2023,Debit,Groceries,MER298,Completed,Bank Transfer,London,18:39,1,48.95,Bank,22,Mobile
TXN6962,CUST577,3968.63,USD,01/22/2023,Debit,Travel,MER320,Pending,Debit Card,Berlin,13:46,1,2.16,Restaurant,26,Desktop
TXN4106,CUST421,770.17,EUR,08/15/2023,Credit,Travel,MER271,Pending,Debit Card,London,04:48,0,3.05,Bank,53,Mobile
TXN3426,CUST802,1012.45,EUR,01/08/2023,Credit,Clothing,MER361,Failed,Bank Transfer,Berlin,07:32,0,34.34,Restaurant,37,Mobile
TXN5095,CUST818,4900.72,EUR,09/27/2023,Credit,Clothing,MER212,Failed,Debit Card,London,08:04,0,12.04,Restaurant,70,Desktop
TXN2008,CUST918,4882.81,GBP,03/06/2023,Credit,Clothing,MER628,Completed,Bank Transfer,Toronto,22:31,1,45.86,Physical Store,31,Mobile
TXN7452,CUST172,2590.16,USD,06/01/2023,Debit,Healthcare,MER206,Failed,Credit Card,Toronto,20:28,1,46.1,Restaurant,45,Desktop
TXN7961,CUST222,1092.78,USD,03/22/2023,Debit,Healthcare,MER897,Pending,Credit Card,Berlin,11:13,1,20.15,Bank,57,Desktop
TXN8566,CUST664,4932.93,USD,06/15/2023,Debit,Groceries,MER857,Pending,Bank Transfer,Berlin,22:08,0,19.51,Bank,48,Mobile
TXN7964,CUST197,2905.61,EUR,01/11/2023,Credit,Groceries,MER526,Completed,Credit Card,New York,18:49,0,0.86,Online Retailer,72,Mobile
TXN3265,CUST295,1271.08,USD,11/05/2023,Credit,Groceries,MER404,Failed,Credit Card,Paris,04:59,0,3.82,Online Retailer,39,ATM
TXN1410,CUST823,3363.85,GBP,03/05/2023,Credit,Electronics,MER296,Completed,E-Wallet,London,13:25,0,30.71,Online Retailer,51,Mobile
TXN2517,CUST293,293.82,GBP,03/03/2023,Debit,Electronics,MER999,Pending,Bank Transfer,Toronto,17:45,1,21.73,Bank,39,ATM
TXN1499,CUST906,1907.02,USD,09/28/2023,Credit,Travel,MER531,Completed,Debit Card,Tokyo,19:35,1,6.41,Physical Store,49,Mobile
TXN4737,CUST959,4591.34,GBP,04/19/2023,Credit,Entertainment,MER900,Failed,Bank Transfer,Berlin,22:08,0,1.34,Restaurant,57,Desktop
TXN7969,CUST831,2748.31,USD,03/08/2023,Credit,Groceries,MER493,Completed,Credit Card,Tokyo,10:59,0,15.49,Bank,69,Desktop
TXN8048,CUST637,1555.89,GBP,01/24/2023,Debit,Healthcare,MER436,Pending,Credit Card,Paris,02:31,0,44.47,Bank,60,Desktop
TXN4499,CUST286,4581.23,EUR,05/16/2023,Credit,Entertainment,MER147,Completed,Bank Transfer,Toronto,09:44,0,5.0,Restaurant,63,ATM
TXN8905,CUST508,2033.87,GBP,06/01/2023,Debit,Entertainment,MER845,Failed,E-Wallet,Paris,01:59,0,2.05,Restaurant,51,ATM
TXN2977,CUST878,905.11,GBP,03/03/2023,Debit,Entertainment,MER546,Failed,Bank Transfer,Tokyo,19:22,0,45.51,Restaurant,24,Mobile
TXN7089,CUST604,646.61,GBP,03/27/2023,Credit,Entertainment,MER250,Pending,Debit Card,Paris,07:00,1,1.12,Restaurant,60,Mobile
TXN3209,CUST394,3498.79,USD,12/11/2023,Debit,Electronics,MER257,Completed,Bank Transfer,Toronto,10:54,0,25.55,Physical Store,27,Desktop
TXN7872,CUST397,4595.13,EUR,12/18/2023,Credit,Groceries,MER309,Failed,E-Wallet,Toronto,07:47,0,5.35,Restaurant,20,ATM
TXN6128,CUST161,1932.82,EUR,04/20/2023,Credit,Healthcare,MER844,Failed,Bank Transfer,Tokyo,13:44,0,32.16,Online Retailer,22,ATM
TXN1138,CUST503,1881.56,GBP,12/14/2023,Credit,Clothing,MER548,Pending,Debit Card,Berlin,11:47,1,4.09,Restaurant,51,Mobile
TXN8237,CUST955,4021.81,EUR,11/11/2023,Debit,Groceries,MER448,Completed,Debit Card,London,15:55,0,37.8,Physical Store,66,Desktop
TXN9541,CUST324,262.79,USD,02/16/2023,Debit,Healthcare,MER834,Pending,Bank Transfer,London,17:22,0,47.68,Online Retailer,61,Mobile
TXN9813,CUST101,2758.19,USD,07/23/2023,Credit,Clothing,MER880,Completed,E-Wallet,Paris,01:32,0,48.78,Online Retailer,65,Mobile
TXN6435,CUST368,388.04,EUR,09/15/2023,Credit,Travel,MER975,Completed,E-Wallet,Tokyo,01:10,1,11.45,Bank,34,Desktop
TXN3523,CUST958,4012.24,EUR,05/21/2023,Debit,Healthcare,MER788,Failed,Bank Transfer,Tokyo,15:47,0,23.57,Bank,30,ATM
TXN3207,CUST871,1849.61,USD,06/18/2023,Credit,Clothing,MER425,Pending,Debit Card,Paris,05:50,1,16.08,Online Retailer,29,ATM
TXN7172,CUST560,1890.49,GBP,08/06/2023,Debit,Entertainment,MER772,Failed,E-Wallet,Berlin,21:18,1,17.31,Physical Store,26,Desktop
TXN1199,CUST338,3596.51,USD,06/26/2023,Credit,Travel,MER819,Pending,E-Wallet,Paris,10:04,1,49.21,Online Retailer,29,Mobile
TXN3147,CUST553,2064.05,EUR,10/12/2023,Credit,Electronics,MER804,Completed,Credit Card,London,22:49,0,4.14,Online Retailer,53,ATM
TXN2834,CUST647,3301.73,EUR,08/06/2023,Debit,Electronics,MER158,Completed,Credit Card,Paris,14:45,0,19.78,Online Retailer,32,ATM
TXN2347,CUST504,4463.96,EUR,02/14/2023,Debit,Healthcare,MER528,Failed,Debit Card,Toronto,11:09,0,4.11,Physical Store,41,Desktop
TXN5811,CUST532,1803.68,EUR,08/01/2023,Debit,Electronics,MER684,Failed,Credit Card,Toronto,17:33,0,31.14,Online Retailer,20,ATM
TXN7822,CUST450,2398.57,GBP,11/14/2023,Credit,Entertainment,MER441,Pending,Bank Transfer,Paris,19:44,0,10.04,Online Retailer,75,Desktop
TXN1295,CUST382,4479.46,GBP,03/13/2023,Debit,Electronics,MER749,Completed,Debit Card,Berlin,20:05,0,8.1,Restaurant,59,Mobile
TXN5523,CUST353,1943.25,EUR,11/22/2023,Debit,Entertainment,MER650,Pending,Debit Card,Paris,18:30,1,41.34,Physical Store,65,ATM
