Compliance ID,Audit Status,Certification Date,Compliance Category,Certification Number
6MCYBAX1,Approved,2023-10-04,Health & Safety,VXmbzL7
CXQO4C46,Approved,2023-10-24,Environmental,dHgOIpY
FZSAI3KQ,Rejected,2023-03-11,Quality,czzaBQJ
AAGNWKOY,Approved,2023-08-15,Corporate Social Responsibility,P8bKxBI
BROEJK37,Rejected,2023-04-22,Quality,CwAsMN2
XZBYVDZ6,Approved,2023-03-09,Environmental,IsEzuaz
3VJFFZDD,Pending,2023-08-27,Environmental,jTTkqQ0
WU8CDIV4,Rejected,2023-04-07,Corporate Social Responsibility,zOmTfIP
DZIKEA7C,Approved,2023-09-16,Health & Safety,sUboJHs
94I89HII,Rejected,2023-06-13,Health & Safety,bK4bm90
498KG9HA,Rejected,2023-03-11,Health & Safety,JmZ2Qzi
ZZ5P4X2K,Rejected,2023-04-17,Health & Safety,RWN8n9N
W7E46R2I,Approved,2023-08-24,Environmental,37wINu2
A5PLBCMF,Approved,2023-01-08,Quality,yhjV211
TL5936LX,Pending,2023-10-13,Environmental,K1eIbGV
MCZCH9HY,Approved,2023-08-19,Health & Safety,k9Z9q3e
8AY2GA69,Approved,2023-09-27,Health & Safety,LEtcovI
XEJ1CJVG,Rejected,2023-04-18,Health & Safety,t63MRU9
WWWKANB6,Rejected,2023-08-27,Health & Safety,UpM4oyu
17265ROC,Approved,2023-07-12,Corporate Social Responsibility,xBGxULm
N8B701EG,Approved,2023-09-06,Environmental,VQ2C1o2
VYXM9ANZ,Rejected,2023-06-22,Health & Safety,BMlDZVQ
2FKNEZZO,Rejected,2023-07-19,Health & Safety,t17bGvb
YIRPB6ZM,Rejected,2023-02-19,Health & Safety,qLPsCC9
ZHJIKC5D,Approved,2023-03-07,Corporate Social Responsibility,5ZtUIS3
D3HS3L93,Rejected,2023-03-10,Environmental,VDGxqJM
8AWQDSF7,Rejected,2023-05-04,Health & Safety,94jnyiw
J69ITE4K,Rejected,2023-04-19,Environmental,KqAZ1oi
4F3ETZXF,Pending,2023-12-04,Quality,GzG6KxH
XXPSU1B1,Approved,2023-12-16,Corporate Social Responsibility,CFXNA9d
X34G3IV7,Rejected,2023-01-14,Quality,WlsPQmj
ZO51GCR7,Rejected,2023-03-03,Environmental,Yp4w0NJ
JAQKG4O4,Approved,2023-06-20,Quality,CRwlJrB
AP50ETX0,Approved,2023-12-18,Environmental,rHgurGX
5SRH29R9,Approved,2023-03-16,Health & Safety,Va7QigD
R6ED1JCG,Rejected,2023-02-12,Corporate Social Responsibility,FBVtdCy
E938Y4U7,Approved,2023-01-12,Quality,XLGSkiv
8W5N97UX,Rejected,2023-10-16,Health & Safety,ZyT2vAQ
S4IXDETY,Rejected,2023-02-21,Health & Safety,gt07gGl
3BDG092F,Pending,2023-12-24,Corporate Social Responsibility,oKump2f
KQMIHFRL,Rejected,2023-04-09,Health & Safety,A6ZWME6
